,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1346.247,FDW58,OUT049
1,1311.4102,FDW14,OUT017
2,662.44946,NCN55,OUT010
3,2808.1128,FDQ58,OUT017
4,6144.7666,FDY38,OUT027
5,1875.6925,FDH56,OUT046
6,544.7369,FDL48,OUT018
7,1954.0099,FDC48,OUT027
8,1456.2706,FDN33,OUT045
9,2683.7297,FDA36,OUT017
10,1929.0778,FDT44,OUT017
11,1403.6313,FDQ56,OUT045
12,497.0831,NCC54,OUT019
13,2627.367,FDU11,OUT049
14,771.1176,DRL59,OUT013
15,2438.0403,FDM24,OUT049
16,3581.2368,FDI57,OUT045
17,3095.694,DRC12,OUT018
18,2957.2112,NCM42,OUT027
19,537.1239,FDA46,OUT010
20,3259.142,FDA31,OUT013
21,3112.9944,NCJ31,OUT035
22,728.62146,FDG52,OUT046
23,182.01387,NCL19,OUT019
24,3124.0273,FDS10,OUT035
25,447.71866,FDX22,OUT010
26,783.56006,NCF19,OUT035
27,2153.7021,NCE06,OUT046
28,3656.5896,DRC27,OUT046
29,2523.9172,FDE21,OUT035
30,41.87182,NCR42,OUT019
31,2461.8308,FDX51,OUT018
32,358.67926,NCR06,OUT018
33,4863.794,FDU31,OUT027
34,1898.2478,FDU59,OUT017
35,5347.967,FDR03,OUT027
36,2371.6216,FDS49,OUT027
37,288.44028,FDD48,OUT010
38,2977.412,NCF18,OUT017
39,2341.5396,NCD43,OUT027
40,1430.456,NCD54,OUT018
41,155.77202,FDY19,OUT010
42,2331.351,NCY54,OUT017
43,1924.1475,NCL19,OUT018
44,285.76297,FDP23,OUT010
45,1695.1083,FDC26,OUT013
46,60.317844,FDR14,OUT010
47,3358.624,NCS41,OUT035
48,3493.935,FDF41,OUT035
49,1914.0936,FDU34,OUT046
50,784.6814,DRH11,OUT046
51,1722.2635,FDM03,OUT013
52,3010.507,FDS31,OUT017
53,2010.6161,FDJ20,OUT017
54,5021.1533,FDV44,OUT027
55,2875.2502,FDG02,OUT049
56,3586.0078,FDA09,OUT013
57,571.3985,FDT04,OUT013
58,-473.97433,FDL58,OUT019
59,1324.709,FDE52,OUT045
60,2500.4216,FDW12,OUT035
61,3500.9456,FDL51,OUT017
62,3431.6172,NCY42,OUT027
63,804.83276,FDR07,OUT017
64,2535.8062,FDN40,OUT045
65,2534.6765,FDB35,OUT027
66,2381.0527,FDA22,OUT017
67,4999.99,NCL06,OUT046
68,3562.3044,FDI35,OUT013
69,3837.3623,NCW42,OUT045
70,3432.1677,NCX06,OUT049
71,2520.2458,FDC37,OUT027
72,2063.803,FDZ14,OUT018
73,4770.7773,DRG49,OUT049
74,3485.8923,NCG06,OUT045
75,2608.8967,DRC36,OUT045
76,422.3649,FDV21,OUT019
77,2592.7021,FDB53,OUT046
78,-8.4367895,DRP47,OUT019
79,2268.3064,FDA14,OUT013
80,2791.75,DRC24,OUT035
81,1215.968,FDW21,OUT018
82,2142.5354,NCH29,OUT046
83,3284.4124,FDU58,OUT013
84,2854.263,FDY27,OUT017
85,1810.9492,FDV56,OUT035
86,3500.222,FDT59,OUT046
87,2753.5942,FDB23,OUT046
88,849.10626,FDR49,OUT045
89,571.79004,FDB03,OUT010
90,2725.7473,FDN39,OUT045
91,5556.881,FDX02,OUT027
92,2684.9092,FDQ16,OUT027
93,1754.8142,FDU35,OUT018
94,1904.472,NCT29,OUT013
95,704.08966,FDZ27,OUT046
96,1989.556,FDN57,OUT017
97,2220.7234,FDA03,OUT018
98,3204.8345,FDZ36,OUT045
99,1041.8967,NCU05,OUT013
100,2010.2928,FDT39,OUT018
101,1615.7621,FDK60,OUT017
102,2872.801,FDZ25,OUT017
103,2146.4277,FDG12,OUT046
104,589.6447,DRB01,OUT019
105,6467.628,NCC43,OUT027
106,694.64667,FDX13,OUT019
107,916.1521,FDM22,OUT049
108,1391.7212,FDJ03,OUT027
109,4992.57,FDU14,OUT018
110,587.1849,FDB33,OUT010
111,3131.5781,FDP27,OUT046
112,215.2611,FDO38,OUT010
113,6128.356,FDE28,OUT027
114,1367.3872,FDO27,OUT035
115,2537.4856,DRL23,OUT027
116,741.1524,FDS28,OUT046
117,1285.0992,FDX24,OUT013
118,1440.7488,FDZ02,OUT035
119,1749.2346,FDL46,OUT045
120,5013.838,FDS60,OUT027
121,532.2664,NCO06,OUT017
122,1760.4124,FDO16,OUT035
123,1811.9813,FDC60,OUT049
124,4051.6218,FDA48,OUT018
125,5076.3774,FDZ36,OUT027
126,1955.6063,FDK27,OUT045
127,201.13802,FDW23,OUT018
128,1498.1133,FDM14,OUT018
129,1446.2454,FDM14,OUT013
130,2669.5195,FDW60,OUT018
131,1669.8237,FDE21,OUT013
132,1554.2944,NCM42,OUT035
133,93.057785,FDY59,OUT010
134,1075.1655,DRI49,OUT049
135,336.70804,FDT28,OUT019
136,327.2649,FDQ22,OUT018
137,1105.2913,FDR60,OUT049
138,279.90787,FDC50,OUT019
139,2883.2732,FDV24,OUT013
140,-425.13242,DRF48,OUT010
141,847.2454,FDQ47,OUT046
142,1621.5323,DRN36,OUT049
143,2412.3167,NCY06,OUT035
144,1439.9205,FDE52,OUT035
145,1900.1349,NCB54,OUT045
146,2374.6685,NCF31,OUT035
147,4109.151,FDJ08,OUT027
148,1560.6522,NCC07,OUT017
149,1627.497,NCD19,OUT027
150,1890.492,FDL46,OUT049
151,4515.907,FDM20,OUT045
152,561.3119,NCI06,OUT010
153,4792.206,DRM11,OUT035
154,2383.499,NCH07,OUT018
155,1903.4855,FDS23,OUT013
156,609.52435,FDO49,OUT018
157,1125.5555,FDS35,OUT049
158,1275.5303,DRK39,OUT045
159,900.78516,DRI39,OUT049
160,2071.1199,FDV04,OUT017
